Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone
1488499545,"4 Apr 2018, 05:43:53",Beach morning run 🏖️,Run,,2120,5.50,,false,"",activities/1488499545.gpx,60.0,,2120.0,1925.0,5508.10009765625,8.699999809265137,,33.607200622558594,,0.10000000149011612,12.399999618530273,32.70000076293945,-0.03449465334415436,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1490241192,"5 Apr 2018, 06:00:57",1/2,Ride,,2353,13.17,,false,,activities/1490241192.gpx,60.0,,2353.0,2139.0,13173.0,13.5,,57.54079818725586,,33.900001525878906,72.80000305175781,19.399999618530273,-0.09337280690670013,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1491115470,"5 Apr 2018, 16:48:40",2/2,Ride,,1928,13.13,,false,,activities/1491115470.gpx,60.0,,1928.0,1896.0,13136.2001953125,10.100000381469727,,65.8308334350586,,33.900001525878906,75.0999984741211,16.600000381469727,0.09439563751220703,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1492087194,"6 Apr 2018, 06:02:14",Run club + outdoor gym sess,Run,,2472,6.37,,false,"",activities/1492087194.gpx,60.0,,2472.0,2133.0,6378.10009765625,8.399999618530273,,25.34917640686035,,33.599998474121094,48.0,13.899999618530273,0.006271460093557835,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1492937223,"31 Mar 2018, 08:06:32",First Reading Parkrun,Run,"",1530,5.03,60,false,"",activities/1608123591.gpx.gz,60.0,,1530.0,1530.0,5029.39990234375,4.300000190734863,,3.0399999618530273,,38.29999923706055,42.0,2.5,0.013918161392211914,,,84.06539916992188,89.0,173.0,164.19293212890625,,,0.0,,,60.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1492952551,"2 Apr 2018, 09:42:34",First 10km run,Run,"",3661,10.47,46,false,"",activities/1608139054.gpx.gz,60.0,,3661.0,3599.0,10476.599609375,5.699999809265137,,24.18000030517578,,36.900001525878906,59.0,4.199999809265137,-0.004772540647536516,,,83.00835418701172,91.0,167.0,140.953857421875,,,0.0,,,46.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1496404022,"8 Apr 2018, 09:55:56",Morning Run,Run,,2910,8.33,192,false,"",activities/1611726874.tcx.gz,60.0,,2910.0,2880.0,8335.2998046875,7.099999904632568,,22.431135177612305,,36.900001525878906,51.29999923706055,10.699999809265137,0.08278046548366547,,,,,190.0,179.93917846679688,,,0.0,,,192.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1499873452,"10 Apr 2018, 06:08:13",Morning Run,Run,,1729,5.54,,false,"",activities/1615418178.tcx.gz,60.0,,1729.0,1726.0,5541.7001953125,10.800000190734863,,9.06940746307373,,34.0,40.70000076293945,14.899999618530273,0.001804500469006598,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1506167840,"13 Apr 2018, 15:17:53",Afternoon Run,Run,,1855,4.24,62,false,"",activities/1621898965.tcx.gz,60.0,,1855.0,1646.0,4239.60009765625,5.0,,167.18698120117188,,505.29998779296875,609.2999877929688,37.900001525878906,0.10378337651491165,,,,,183.0,161.83377075195312,,,0.0,,,62.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1508199561,"14 Apr 2018, 10:44:59",Lunch Ride,Ride,"",14769,53.92,245,false,,activities/1624023914.tcx.gz,60.0,,14769.0,9739.0,53920.3984375,22.600000381469727,,1326.784423828125,,97.0999984741211,817.9000244140625,49.099998474121094,-0.018916774541139603,,,,,187.0,150.56283569335938,,,,,,245.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1512577163,"16 Apr 2018, 18:17:47",Evening Run,Run,,1846,4.33,65,false,"",activities/1628591624.tcx.gz,60.0,,1846.0,1729.0,4335.60009765625,5.800000190734863,,165.89686584472656,,505.29998779296875,609.4000244140625,43.20000076293945,-0.19374480843544006,,,,,191.0,162.7938690185547,,,0.0,,,65.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1518450630,"19 Apr 2018, 13:14:02",Afternoon Run,Run,,799,2.15,39,false,"",activities/1634671836.tcx.gz,60.0,,799.0,716.0,2155.699951171875,5.400000095367432,,18.342063903808594,,9.0,20.0,11.800000190734863,0.18555457890033722,,,,,192.0,172.59971618652344,,,0.0,,,39.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1518469811,"19 Apr 2018, 10:15:45",Lunch Run,Run,,2945,8.05,171,false,"",activities/1634691379.tcx.gz,60.0,,2945.0,2868.0,8049.7998046875,5.599999904632568,,39.77301788330078,,5.0,21.0,14.399999618530273,-0.033541206270456314,,,,,190.0,174.9019317626953,,,0.0,,,171.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1525610445,"22 Apr 2018, 17:29:33",Evening Run,Run,,3373,9.82,176,false,"",activities/1642153623.tcx.gz,60.0,,3373.0,3373.0,9825.599609375,8.399999618530273,,22.17001724243164,,36.900001525878906,51.29999923706055,11.5,0.0,,,,,185.0,171.52359008789062,,,0.0,,,176.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1528281934,"24 Apr 2018, 06:05:16",Morning Run,Run,,1973,5.17,,false,"",activities/1644959646.tcx.gz,60.0,,1973.0,1812.0,5170.10009765625,5.900000095367432,,19.274200439453125,,33.599998474121094,47.0,15.800000190734863,-0.017407787963747978,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
1529378647,"24 Apr 2018, 16:50:01",Frist outdoor swim! 🏊🏻,Swim,"",2480,"1,001",,false,,activities/1646099125.tcx.gz,60.0,,2480.0,1096.0,1001.4000244140625,7.300000190734863,,0.0,,38.20000076293945,39.400001525878906,14.300000190734863,0.00998601969331503,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1530347737,"25 Apr 2018, 06:05:57",Morning Ride,Ride,,2053,12.87,42,false,,activities/1647110040.tcx.gz,60.0,,2053.0,1970.0,12872.7001953125,14.5,,57.71569061279297,,33.900001525878906,77.80000305175781,17.5,-0.0932205393910408,,,,,179.0,141.95762634277344,,,,,,42.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1531249024,"25 Apr 2018, 16:11:36",Afternoon Ride,Ride,,1753,12.74,7,false,,activities/1648052874.tcx.gz,60.0,,1753.0,1738.0,12740.599609375,16.100000381469727,,65.8084945678711,,33.900001525878906,75.0,12.699999809265137,0.08633816242218018,,,,,175.0,103.21180725097656,,,,,,7.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1532397695,"26 Apr 2018, 06:33:52",Morning Ride,Ride,,2134,12.90,11,false,,activities/1649245687.tcx.gz,60.0,,2134.0,2134.0,12899.599609375,13.699999809265137,,56.921382904052734,,33.900001525878906,77.80000305175781,13.5,-0.09612701088190079,,,,,170.0,106.19605255126953,,,,,,11.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1533494178,"26 Apr 2018, 16:53:31",Afternoon Ride,Ride,,2140,12.23,6,false,,activities/1650380919.tcx.gz,60.0,,2140.0,1842.0,12231.0,14.300000190734863,,68.77777862548828,,33.900001525878906,78.0,24.0,0.10219933092594147,,,,,167.0,103.75068664550781,,,,,,6.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
